JOB_ID,TITLE,DESCRIPTION,DISPLAY DATE,LINK,CITY,COUNTRY
1118906,Monitoring Officer,Monitoring,2021-01-01,https://www.rozee.pk/leading-development-organization-monitoring-officer-karachi-jobs-1118906.php,Karachi,Pakistan
1118847,Programme Coordinator,Develop programmes and projects based on the Country Strategic Plan and area needsDesigning and preparing concept notes/proposals for progra..,2021-01-01,https://www.rozee.pk/leading-development-organization-programme-coordinator-karachi-jobs-1118847.php,Karachi,Pakistan
1118812,IT Support Executive,We are looking for the services of the IT Support ExecutiveExperienced candidates are encouraged to apply,2021-01-01,https://www.rozee.pk/multinational-export-bureau-it-support-executive-karachi-jobs-1118812.php,Karachi,Pakistan
1118860,PHP  \/ WordPress Developer,We are looking for the services of the PHP Developer / WordPress DeveloperExperienced candidates are encouraged to apply,2021-01-01,https://www.rozee.pk/sea-net-php-wordpress-developer-karachi-jobs-1118860.php,Karachi,Pakistan
1118852,Android Developer,We are looking for the services of the Android Developer Experienced candidates are encouraged to apply,2021-01-01,https://www.rozee.pk/sea-net-android-developer-karachi-jobs-1118852.php,Karachi,Pakistan
1118915,Android \/ PHP Word Press Developer,We are looking for the services of the Android / PHP Word Press DeveloperExperienced candidates are encouraged to apply,2021-01-01,https://www.rozee.pk/sea-net-android-php-word-press-developer-karachi-jobs-1118915.php,Karachi,Pakistan
1118796,Bid Manager \/ Proposal Writer,,2021-01-01,https://www.rozee.pk/team-outsourcing-bid-manager-proposal-writer-karachi-jobs-1118796.php,Karachi,Pakistan
1118908,HR Officer,,2021-01-01,https://www.rozee.pk/emeriosoft-hr-officer-karachi-jobs-1118908.php,Karachi,Pakistan
1118906,Monitoring Officer,Monitoring,2021-01-01,https://www.rozee.pk/leading-development-organization-monitoring-officer-karachi-jobs-1118906.php,Karachi,Pakistan
1114542,SEO Executive,We are a leading U.S. based firm with offices in the US and Pakistan.Our core business is providing IT solutions using our technologically s..,2021-01-01,https://www.rozee.pk/symbios-technologies-seo-executive-karachi-jobs-1114542.php,Karachi,Pakistan
1118897,Procurement Officer,Place order and follow up with suppliers to ensure in time arrangement of material.Managing inventories and maintaining accurate purchase an..,2021-01-01,https://www.rozee.pk/amreli-steels-limited-procurement-officer-karachi-jobs-1118897.php,Karachi,Pakistan
1118880,Faculty Member - HTML \/ CSS Developer,,2021-01-01,https://www.rozee.pk/aptech-pakistan-faculty-member-html-css-developer-karachi-jobs-1118880.php,Karachi,Pakistan
1118884,Faculty Member - .Net PHP,,2021-01-01,https://www.rozee.pk/aptech-pakistan-faculty-member-net-php-karachi-jobs-1118884.php,Karachi,Pakistan
1118871,iOS Developer,Location,2021-01-01,https://www.rozee.pk/ezhire-ios-developer-karachi-jobs-1118871.php,Karachi,Pakistan
1118847,Programme Coordinator,Develop programmes and projects based on the Country Strategic Plan and area needsDesigning and preparing concept notes/proposals for progra..,2021-01-01,https://www.rozee.pk/leading-development-organization-programme-coordinator-karachi-jobs-1118847.php,Karachi,Pakistan
1118853,MERN Stack Developer,,2021-01-01,https://www.rozee.pk/minibigtech-mern-stack-developer-karachi-jobs-1118853.php,Karachi,Pakistan
1118850,Key Accounts Manager (Karachi),,2021-01-01,https://www.rozee.pk/ptcl-key-accounts-manager-karachi-jobs-1118850.php,Karachi,Pakistan
1118833,Beautician,We are looking for the services of Beautician Experienced candidates are encouraged to apply.,2021-01-01,https://www.rozee.pk/modern-institute-of-paramedical-sciences-beautician-karachi-jobs-1118833.php,Karachi,Pakistan
1118840,Sales Executive - Institution,We are looking for an ambitious Sales Executive to join its team for disinfectant business in Karachi.The Candidate should have 3 to 5 Years..,2021-01-01,https://www.rozee.pk/sales-executive-institution-karachi-jobs-1118840.php,Karachi,Pakistan
1118838,Finance Manager \/ Compliance,,2021-01-01,https://www.rozee.pk/altpay-pvt-ltd-finance-manager-compliance-karachi-jobs-1118838.php,Karachi,Pakistan
1118836,Front Desk Officer,Scope of ResponsibilityWe are looking for a pleasant Front Desk Representative to undertake all receptionist and clerical duties at the desk..,2021-01-01,https://www.rozee.pk/rs-consultant-front-desk-officer-karachi-jobs-1118836.php,Karachi,Pakistan
1118653,People & Operations Officer,Assist staff in processing Job Requests and ensure availability of updated JDs showing essential and desired job competencies/skills.Ensure ..,2021-01-01,https://www.rozee.pk/leading-development-organization-people-operations-officer-karachi-jobs-1118653.php,Karachi,Pakistan
1118681,Supply Chain & Services Officer,Securing petty cash and its reconciliation prior to month end and replenishmentManaging supplier/vendors payments.Event management/ arrangem..,2021-01-01,https://www.rozee.pk/leading-development-organization-supply-chain-services-officer-karachi-jobs-1118681.php,Karachi,Pakistan
1118686,Feild Engineer,u00b7         Develop in depth understanding of project documents (construction drawings & specifications) as well as business process / DIP for..,2021-01-01,https://www.rozee.pk/leading-development-organization-feild-engineer-karachi-jobs-1118686.php,Karachi,Pakistan
1118642,Accountant,QTINITY is looking for an energetic and experienced Accountant.We need suitable candidates for the post of Accountant Officer. Interested ca..,2021-01-01,https://www.rozee.pk/qtinity-accountant-karachi-jobs-1118642.php,Karachi,Pakistan
1118492,Office Boy,We are looking for the services of Office BoyFresh candidates are encouraged to apply.,2021-01-01,https://www.rozee.pk/ginni-online-office-boy-karachi-jobs-1118492.php,Karachi,Pakistan
1118697,Booking Officer - Airline Ticketing,,2021-01-01,https://www.rozee.pk/alkhair-hajj-umrah-booking-officer-airline-ticketing-karachi-jobs-1118697.php,Karachi,Pakistan
1118830,Web Developer,,2021-01-01,https://www.rozee.pk/neuro-computers-web-developer-karachi-jobs-1118830.php,Karachi,Pakistan
1118829,Senior Infrastructure Engineer,Part of a team managing 400+ nodes network and provide technical supportFortinet FirewallBarracuda Mail Spam Filter 2008R2 & 2016 Server AD ..,2021-01-01,https://www.rozee.pk/neuro-computers-senior-infrastructure-engineer-karachi-jobs-1118829.php,Karachi,Pakistan
1118821,Sales Engineer,Hi-Tech Plastics Engineering is looking for graduates who are looking forward to joining their team and develop their careers as a SALES ENG..,2021-01-01,https://www.rozee.pk/hi-tech-plastics-engineering-sales-engineer-islamabad-karachi-lahore-multan-rawalpindi-jobs-1118821.php,Multiple Cities,Pakistan
1118818,Assistant Sales Manager,,2021-01-01,https://www.rozee.pk/hi-tech-plastics-engineering-assistant-sales-manager-islamabad-karachi-lahore-multan-rawalpindi-jobs-1118818.php,Multiple Cities,Pakistan
1118753,SEO Manager (Remote),,2021-01-01,https://www.rozee.pk/carta-healthcare-seo-manager-remote-islamabad-karachi-lahore-multan-jobs-1118753.php,Multiple Cities,Pakistan
1118778,Territory Sales Officer\/ Executive,Well reputed company from Karachi holding strong name in beverage industry now entering in water business.   We are looking for Territory Sa..,2021-01-01,https://www.rozee.pk/massco-trading-pvt-ltd-territory-sales-officer-executive-karachi-jobs-1118778.php,Karachi,Pakistan
1118759,Scrum Master,Responsibilities,2020-12-31,https://www.rozee.pk/shispare-pvt-limited-scrum-master-karachi-jobs-1118759.php,Karachi,Pakistan
1118760,Senior DevOps Engineer,Responsibilities,2020-12-31,https://www.rozee.pk/shispare-pvt-limited-senior-devops-engineer-karachi-jobs-1118760.php,Karachi,Pakistan
1118761,Technical Project Manager \/ Technical Lead,,2020-12-31,https://www.rozee.pk/shispare-pvt-limited-technical-project-manager-technical-lead-karachi-jobs-1118761.php,Karachi,Pakistan
1118783,Manager Taxation,,2020-12-31,https://www.rozee.pk/salman-raheel-chartered-accountants-manager-taxation-karachi-jobs-1118783.php,Karachi,Pakistan
1118731,Social Media Strategist,1) Must have at least 2-3 years of experience.n2) Proven record at developing and implementing social media marketing strategies.n3) Extensi..,2020-12-31,https://www.rozee.pk/time-space-media-pvt-ltd-social-media-strategist-karachi-jobs-1118731.php,Karachi,Pakistan
1118730,Front Desk Officer,,2020-12-31,https://www.rozee.pk/gcs-private-limited-front-desk-officer-karachi-jobs-1118730.php,Karachi,Pakistan
1118718,Merchandising Expert,managing online ecommerce inventory of 200k+ productsmanaging and maintaining excel sheets for product importsmanaging stock countco ordinat..,2020-12-31,https://www.rozee.pk/obsidian-merchandising-expert-karachi-jobs-1118718.php,Karachi,Pakistan
1109483,Software Engineer,You MUST have experience (at least 2-3 projects) in the following technologies.nJob post is for general fullstack software Engineer (senior ..,2020-12-31,https://www.rozee.pk/ab-technologies-software-engineer-islamabadkarachilahorerawalpindiabbottabadgujranwalasargodhasialkot-jobs-1109483.php,Multiple Cities,Pakistan
1118708,SEO Specialist,The SEO Team ensures the performance of the Organic Search channel by mitigating risk and exploring growth opportunities. Organic Search is ..,2020-12-31,https://www.rozee.pk/sibisoft-pvt-ltd-seo-specialist-karachi-jobs-1118708.php,Karachi,Pakistan
1118700,Community Development Officer,u00b7         Conduct broad based community meetings (BBCM) / stake holders workshop at the community levelu00b7         Conduct needs assessment/ba..,2020-12-31,https://www.rozee.pk/leading-development-organization-community-development-officer-karachi-jobs-1118700.php,Karachi,Pakistan
1118696,Sub Engineer,u00b7         Review of project documents (construction drawings & specifications) as well as business process / DIP in detail for understanding..,2020-12-31,https://www.rozee.pk/sub-engineer-karachi-jobs-1118696.php,Karachi,Pakistan
1118443,Online Tutor,A British company is looking for premium online tutors for various subjects for 18 years old British students and above.Teachers should have..,2020-12-31,https://www.rozee.pk/online-tutor-islamabad-karachi-lahore-jobs-1118443.php,Multiple Cities,Pakistan
1118672,,,2020-12-31,https://www.rozee.pk/united-nations-pakistan-provincial-coordination-officer-karachi-karachi-jobs-1118672.php,Karachi,Pakistan
1118690,IT Faculty,,2020-12-31,https://www.rozee.pk/aptech-computer-education-it-faculty-karachi-jobs-1118690.php,Karachi,Pakistan
1117826,Ecommerce Specialist - Amazon \/ Ebay,,2020-12-31,https://www.rozee.pk/toolmart-inc-ecommerce-specialist-amazon-ebay-karachi-jobs-1117826.php,Karachi,Pakistan
1118657,Business Development Officer - Online,This job is for our sister concern IT company.We are looking for a Business Developer / Online Bidding Expert who could get business from on..,2020-12-31,https://www.rozee.pk/babynest-pakistan-business-development-officer-online-karachi-jobs-1118657.php,Karachi,Pakistan
1117316,Business Development Executive,,2020-12-31,https://www.rozee.pk/hg-markets-business-development-executive-karachi-jobs-1117316.php,Karachi,Pakistan
1115796,Brand Ambassador,SheShine Production is looking for a Confident Female team partner who can speak in our YouTube videos. Other Benefits,2020-12-31,https://www.rozee.pk/sheshine-brand-ambassador-islamabad-karachi-lahore-jobs-1115796.php,Multiple Cities,Pakistan
1118647,Video Editor,,2020-12-31,https://www.rozee.pk/integrity-technologies-pvt-ltd-video-editor-karachi-jobs-1118647.php,Karachi,Pakistan
1118646,Accounts Payable Officer,,2020-12-31,https://www.rozee.pk/blueex-accounts-payable-officer-karachi-jobs-1118646.php,Karachi,Pakistan
1118637,SuiteCRM Developer,We are looking for Suite(Sugar) CRM Developer with certain Requirements,2020-12-31,https://www.rozee.pk/fullduplex-tech-suitecrm-developer-islamabad-karachi-lahore-multan-jobs-1118637.php,Multiple Cities,Pakistan
1118629,Online English Teacher,We are Looking forward to hire Online teachers for our offshore students.They will be working from Home.They must meet following basic requi..,2020-12-31,https://www.rozee.pk/your-cloud-solutions-online-english-teacher-islamabad-karachi-lahore-multan-rawalpindi-jobs-1118629.php,Multiple Cities,Pakistan
1118626,Maths \/ Physics Teacher,We are Looking forward to hire Online teachers for our offshore students.They will be working from Home.They must meet following basic requi..,2020-12-31,https://www.rozee.pk/your-cloud-solutions-maths-physics-teacher-islamabad-faisalabad-karachi-lahore-rawalpindi-jobs-1118626.php,Multiple Cities,Pakistan
1118606,Senior PHP Laravel Developer,,2020-12-31,https://www.rozee.pk/digital-tolk-senior-php-laravel-developer-karachi-jobs-1118606.php,Karachi,Pakistan
1118599,Web Developer (Web 2.0 Mobile),We are looking for an expert JavaScript developer who is highly skilled with HTML5/AJAX and CSS3.Your primary focus will be developing user-..,2020-12-31,https://www.rozee.pk/pakistan-data-management-services-web-developer-web-20-mobile-karachi-jobs-1118599.php,Karachi,Pakistan
939590,Customer Support Specialist,,2020-12-31,https://www.rozee.pk/modisoft-pvt-ltd-customer-support-specialist-karachi-jobs-939590.php,Karachi,Pakistan
1118535,Delivery Rider,We are looking for the services of the Delivery RiderExperienced candidates are encouraged to apply,2020-12-31,https://www.rozee.pk/gobi-pk-delivery-rider-karachi-jobs-1118535.php,Karachi,Pakistan
1118532,Delivery Rider,We are looking for the services of the Delivery RiderExperienced candidates are encouraged to apply,2020-12-31,https://www.rozee.pk/gobi-pk-delivery-rider-karachi-jobs-1118532.php,Karachi,Pakistan
1118184,Front End Developer,Job Requirement for Front End DeveloperWe are looking for a UI/UX  Developer for our E-Commerce project with at least 2-year programming exp..,2020-12-31,https://www.rozee.pk/duniya-daraz-front-end-developer-karachi-jobs-1118184.php,Karachi,Pakistan
1118562,Receptionist \/ Front Desk Officer,Candidate should have command of MS Office and familiar with computer operating tasks and duties.Must have good communication skills and att..,2020-12-31,https://www.rozee.pk/aptech-computer-education-garden-center-receptionist-front-desk-officer-karachi-jobs-1118562.php,Karachi,Pakistan
1118552,Phone Banking Officer,A leading Bank requires Phone Banking Officers for its call center in Lahore and Karachi. EligibilityGraduation must be complete (not under ..,2020-12-31,https://www.rozee.pk/prolink-pvt-ltd-phone-banking-officer-karachi-lahore-jobs-1118552.php,Multiple Cities,Pakistan
1118576,Sales Executive,We are looking for the services of the Sales ExecutiveExperienced candidates are encouraged to apply,2020-12-31,https://www.rozee.pk/altin-foods-sales-executive-karachi-jobs-1118576.php,Karachi,Pakistan
1118062,Assistant Graphic Designer,We are looking for the services of the Assistant Graphic DesignerExperienced candidates are encouraged to apply,2020-12-31,https://www.rozee.pk/js-corporation-assistant-graphic-designer-karachi-jobs-1118062.php,Karachi,Pakistan
